state,district,month,age_0_5,age_5_17,age_18_greater,total_enrollments,child_enrolment_ratio,teen_enrolment_ratio,adult_enrolment_ratio,risk_score
Andhra Pradesh,Krishna,2025-09,1995,207,7,2209,0.9031235853327297,0.09370755998189226,0.003168854685377999,0.5703033046627433
Andhra Pradesh,Krishna,2025-10,1127,140,3,1270,0.8874015748031496,0.11023622047244094,0.002362204724409449,0.565748031496063
Andhra Pradesh,Krishna,2025-11,1741,128,18,1887,0.9226285108638049,0.06783253842077372,0.009538950715421303,0.5748807631160572
Andhra Pradesh,Krishna,2025-12,1300,65,6,1371,0.9482129832239241,0.04741064916119621,0.00437636761487965,0.5835886214442013
Andhra Pradesh,Kurnool,2025-09,3164,308,9,3481,0.9089342143062339,0.08848032174662453,0.002585463947141626,0.5721631715024418
Andhra Pradesh,Kurnool,2025-10,2561,212,2,2775,0.9228828828828829,0.0763963963963964,0.0007207207207207207,0.5767207207207207
Andhra Pradesh,Kurnool,2025-11,2965,194,6,3165,0.9368088467614534,0.0612954186413902,0.0018957345971563982,0.5806635071090046
Andhra Pradesh,Kurnool,2025-12,2233,109,7,2349,0.9506172839506173,0.0464027245636441,0.002979991485738612,0.5845891868880374
Andhra Pradesh,Mahabub Nagar,2025-09,472,200,0,672,0.7023809523809523,0.2976190476190476,0.0,0.5107142857142857
Andhra Pradesh,Mahabub Nagar,2025-10,270,102,0,372,0.7258064516129032,0.27419354838709675,0.0,0.5177419354838709
Andhra Pradesh,Mahabub Nagar,2025-11,231,106,0,337,0.685459940652819,0.314540059347181,0.0,0.5056379821958457
Andhra Pradesh,Mahabub Nagar,2025-12,106,24,0,130,0.8153846153846154,0.18461538461538463,0.0,0.5446153846153846
Andhra Pradesh,Mahabubnagar,2025-09,3,0,0,3,1.0,0.0,0.0,0.6
Andhra Pradesh,Mahabubnagar,2025-10,1,0,0,1,1.0,0.0,0.0,0.6
Andhra Pradesh,Mahabubnagar,2025-12,3,0,0,3,1.0,0.0,0.0,0.6
Andhra Pradesh,Mahbubnagar,2025-09,202,85,0,287,0.7038327526132404,0.2961672473867596,0.0,0.5111498257839722
Andhra Pradesh,Mahbubnagar,2025-10,124,65,0,189,0.656084656084656,0.3439153439153439,0.0,0.49682539682539684
Andhra Pradesh,Mahbubnagar,2025-11,129,43,0,172,0.75,0.25,0.0,0.5249999999999999
Andhra Pradesh,Mahbubnagar,2025-12,56,18,0,74,0.7567567567567568,0.24324324324324326,0.0,0.5270270270270271
Andhra Pradesh,Medak,2025-09,465,84,1,550,0.8454545454545455,0.15272727272727274,0.0018181818181818182,0.5532727272727272
Andhra Pradesh,Medak,2025-10,277,67,0,344,0.8052325581395349,0.19476744186046513,0.0,0.5415697674418605
Andhra Pradesh,Medak,2025-11,288,66,0,354,0.8135593220338984,0.1864406779661017,0.0,0.5440677966101695
Andhra Pradesh,Medak,2025-12,146,12,0,158,0.9240506329113924,0.0759493670886076,0.0,0.5772151898734177
Andhra Pradesh,N. T. R,2025-09,242,36,17,295,0.8203389830508474,0.12203389830508475,0.0576271186440678,0.5345762711864407
Andhra Pradesh,N. T. R,2025-10,149,20,5,174,0.8563218390804598,0.11494252873563218,0.028735632183908046,0.5511494252873563
Andhra Pradesh,N. T. R,2025-11,218,31,18,267,0.8164794007490637,0.11610486891385768,0.06741573033707865,0.5314606741573032
Andhra Pradesh,N. T. R,2025-12,181,10,6,197,0.9187817258883249,0.050761421319796954,0.030456852791878174,0.5695431472081218
Andhra Pradesh,Nalgonda,2025-09,385,99,0,484,0.7954545454545454,0.20454545454545456,0.0,0.5386363636363636
Andhra Pradesh,Nalgonda,2025-10,240,50,0,290,0.8275862068965517,0.1724137931034483,0.0,0.5482758620689655
Andhra Pradesh,Nalgonda,2025-11,226,53,0,279,0.8100358422939068,0.18996415770609318,0.0,0.543010752688172
Andhra Pradesh,Nalgonda,2025-12,100,14,0,114,0.8771929824561403,0.12280701754385964,0.0,0.5631578947368421
Andhra Pradesh,Nandyal,2025-09,221,6,3,230,0.9608695652173913,0.02608695652173913,0.013043478260869565,0.5856521739130435
Andhra Pradesh,Nandyal,2025-10,194,16,0,210,0.9238095238095239,0.0761904761904762,0.0,0.5771428571428572
Andhra Pradesh,Nandyal,2025-11,264,12,2,278,0.9496402877697842,0.04316546762589928,0.007194244604316547,0.5834532374100718
Andhra Pradesh,Nandyal,2025-12,181,5,1,187,0.9679144385026738,0.026737967914438502,0.0053475935828877,0.5893048128342245
Andhra Pradesh,Nellore,2025-09,1477,292,2,1771,0.83399209486166,0.16487859966120835,0.001129305477131564,0.5499717673630716
Andhra Pradesh,Nellore,2025-10,884,174,0,1058,0.8355387523629489,0.16446124763705103,0.0,0.5506616257088847
Andhra Pradesh,Nellore,2025-11,1311,202,0,1513,0.8664904163912757,0.1335095836087244,0.0,0.5599471249173827
Andhra Pradesh,Nellore,2025-12,939,86,0,1025,0.9160975609756098,0.08390243902439025,0.0,0.574829268292683
Andhra Pradesh,Nizamabad,2025-09,167,28,0,195,0.8564102564102564,0.14358974358974358,0.0,0.556923076923077
Andhra Pradesh,Nizamabad,2025-10,138,19,0,157,0.8789808917197452,0.12101910828025478,0.0,0.5636942675159236
Andhra Pradesh,Nizamabad,2025-11,104,21,0,125,0.832,0.168,0.0,0.5496
Andhra Pradesh,Nizamabad,2025-12,44,3,0,47,0.9361702127659575,0.06382978723404255,0.0,0.5808510638297872
Andhra Pradesh,Palnadu,2025-09,239,34,11,284,0.8415492957746479,0.11971830985915492,0.03873239436619718,0.5447183098591549
Andhra Pradesh,Palnadu,2025-10,148,17,1,166,0.891566265060241,0.10240963855421686,0.006024096385542169,0.5662650602409638
Andhra Pradesh,Palnadu,2025-11,167,14,7,188,0.8882978723404256,0.07446808510638298,0.03723404255319149,0.5590425531914893
Andhra Pradesh,Palnadu,2025-12,205,11,6,222,0.9234234234234234,0.04954954954954955,0.02702702702702703,0.5716216216216216
Andhra Pradesh,Parvathipuram Manyam,2025-09,162,11,4,177,0.9152542372881356,0.062146892655367235,0.022598870056497175,0.5700564971751413
Andhra Pradesh,Parvathipuram Manyam,2025-10,103,14,2,119,0.865546218487395,0.11764705882352941,0.01680672268907563,0.5563025210084034
Andhra Pradesh,Parvathipuram Manyam,2025-11,106,9,0,115,0.9217391304347826,0.0782608695652174,0.0,0.5765217391304347
Andhra Pradesh,Parvathipuram Manyam,2025-12,93,2,2,97,0.9587628865979382,0.020618556701030927,0.020618556701030927,0.5835051546391752
Andhra Pradesh,Prakasam,2025-07,91,108,38,237,0.38396624472573837,0.45569620253164556,0.16033755274261605,0.38312236286919826
Andhra Pradesh,Prakasam,2025-09,2197,479,13,2689,0.8170323540349572,0.1781331349944217,0.004834510970621049,0.544142804016363
Andhra Pradesh,Prakasam,2025-10,1290,217,2,1509,0.8548707753479126,0.14380384360503645,0.0013253810470510272,0.5561961563949636
Andhra Pradesh,Prakasam,2025-11,1633,246,5,1884,0.8667728237791932,0.1305732484076433,0.002653927813163482,0.5595010615711252
Andhra Pradesh,Prakasam,2025-12,1194,107,3,1304,0.9156441717791411,0.08205521472392638,0.0023006134969325155,0.574233128834356
Andhra Pradesh,Rangareddi,2025-09,502,132,0,634,0.7917981072555205,0.2082018927444795,0.0,0.5375394321766561
Andhra Pradesh,Rangareddi,2025-10,355,120,0,475,0.7473684210526316,0.25263157894736843,0.0,0.5242105263157895
Andhra Pradesh,Rangareddi,2025-11,375,122,0,497,0.7545271629778671,0.2454728370221328,0.0,0.5263581488933601
Andhra Pradesh,Rangareddi,2025-12,246,31,0,277,0.8880866425992779,0.11191335740072202,0.0,0.5664259927797833
Andhra Pradesh,Spsr Nellore,2025-03,43,44,29,116,0.3706896551724138,0.3793103448275862,0.25,0.36120689655172417
Andhra Pradesh,Spsr Nellore,2025-06,742,405,201,1348,0.5504451038575667,0.3004451038575668,0.14910979228486648,0.4353115727002967
Andhra Pradesh,Spsr Nellore,2025-07,382,264,73,719,0.5312934631432545,0.3671766342141864,0.10152990264255911,0.4390820584144645
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-09,251,224,83,558,0.449820788530466,0.4014336917562724,0.14874551971326164,0.40519713261648743
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-10,128,134,70,332,0.3855421686746988,0.4036144578313253,0.21084337349397592,0.37349397590361444
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-11,195,187,103,485,0.4020618556701031,0.38556701030927837,0.21237113402061855,0.3781443298969072
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-12,115,77,47,239,0.4811715481171548,0.32217573221757323,0.19665271966527198,0.405020920502092
Andhra Pradesh,Sri Sathya Sai,2025-09,240,14,9,263,0.9125475285171103,0.053231939163498096,0.034220532319391636,0.5669201520912547
Andhra Pradesh,Sri Sathya Sai,2025-10,200,9,1,210,0.9523809523809523,0.04285714285714286,0.004761904761904762,0.5847619047619048
Andhra Pradesh,Sri Sathya Sai,2025-11,239,13,3,255,0.9372549019607843,0.050980392156862744,0.011764705882352941,0.5788235294117647
Andhra Pradesh,Sri Sathya Sai,2025-12,200,4,6,210,0.9523809523809523,0.01904761904761905,0.02857142857142857,0.58
Andhra Pradesh,Srikakulam,2025-09,1339,53,5,1397,0.9584824624194703,0.03793843951324266,0.0035790980672870437,0.5868289191123837
Andhra Pradesh,Srikakulam,2025-10,861,34,1,896,0.9609375,0.03794642857142857,0.0011160714285714285,0.5880580357142857
Andhra Pradesh,Srikakulam,2025-11,1185,34,0,1219,0.9721082854799016,0.02789171452009844,0.0,0.5916324856439705
Andhra Pradesh,Srikakulam,2025-12,772,14,2,788,0.9796954314720813,0.017766497461928935,0.0025380710659898475,0.5934010152284264
Andhra Pradesh,Tirupati,2025-09,223,310,84,617,0.36142625607779577,0.5024311183144247,0.13614262560777957,0.3811993517017828
Andhra Pradesh,Tirupati,2025-10,130,83,20,233,0.5579399141630901,0.3562231759656652,0.08583690987124463,0.450214592274678
Andhra Pradesh,Tirupati,2025-11,223,209,76,508,0.4389763779527559,0.41141732283464566,0.14960629921259844,0.4017716535433071
Andhra Pradesh,Tirupati,2025-12,226,87,48,361,0.6260387811634349,0.2409972299168975,0.1329639889196676,0.461218836565097
Andhra Pradesh,Visakhapatanam,2025-06,186,28,12,226,0.8230088495575221,0.12389380530973451,0.05309734513274336,0.5362831858407079
Andhra Pradesh,Visakhapatnam,2025-09,2358,185,8,2551,0.924343394747158,0.07252058016464132,0.0031360250882007056,0.5766758134065072
Andhra Pradesh,Visakhapatnam,2025-10,1525,88,1,1614,0.9448574969021065,0.05452292441140025,0.0006195786864931846,0.5833333333333333
Andhra Pradesh,Visakhapatnam,2025-11,2065,124,14,2203,0.9373581479800273,0.05628688152519292,0.006354970494779845,0.5799364502950523
Andhra Pradesh,Visakhapatnam,2025-12,1740,63,7,1810,0.9613259668508287,0.034806629834254144,0.0038674033149171273,0.5876243093922652
Andhra Pradesh,Vizianagaram,2025-09,1220,72,2,1294,0.9428129829984544,0.05564142194744977,0.0015455950540958269,0.5825347758887172
Andhra Pradesh,Vizianagaram,2025-10,739,40,0,779,0.9486521181001284,0.051347881899871634,0.0,0.5845956354300386
Andhra Pradesh,Vizianagaram,2025-11,1012,33,1,1046,0.9674952198852772,0.03154875717017208,0.0009560229445506692,0.590057361376673
Andhra Pradesh,Vizianagaram,2025-12,724,13,0,737,0.9823609226594301,0.017639077340569877,0.0,0.594708276797829
Andhra Pradesh,Warangal,2025-09,329,60,0,389,0.8457583547557841,0.15424164524421594,0.0,0.5537275064267352
Andhra Pradesh,Warangal,2025-10,231,63,0,294,0.7857142857142857,0.21428571428571427,0.0,0.5357142857142857
Andhra Pradesh,Warangal,2025-11,193,58,0,251,0.7689243027888446,0.23107569721115537,0.0,0.5306772908366534
Andhra Pradesh,Warangal,2025-12,105,20,0,125,0.84,0.16,0.0,0.552
Andhra Pradesh,West Godavari,2025-09,1871,128,6,2005,0.9331670822942644,0.06384039900249376,0.0029925187032418953,0.5793516209476309
Andhra Pradesh,West Godavari,2025-10,1015,91,6,1112,0.9127697841726619,0.08183453237410072,0.00539568345323741,0.572751798561151
Andhra Pradesh,West Godavari,2025-11,1579,89,7,1675,0.9426865671641791,0.05313432835820896,0.00417910447761194,0.5819701492537314
Andhra Pradesh,West Godavari,2025-12,1103,35,5,1143,0.9650043744531933,0.03062117235345582,0.004374453193350831,0.5886264216972878
Andhra Pradesh,Y. S. R,2025-09,213,30,8,251,0.848605577689243,0.11952191235059761,0.03187250996015936,0.548207171314741
Andhra Pradesh,Y. S. R,2025-10,151,6,1,158,0.9556962025316456,0.0379746835443038,0.006329113924050633,0.5854430379746834
Andhra Pradesh,Y. S. R,2025-11,228,13,10,251,0.9083665338645418,0.05179282868525897,0.0398406374501992,0.5645418326693227
Andhra Pradesh,Y. S. R,2025-12,146,3,14,163,0.8957055214723927,0.018404907975460124,0.08588957055214724,0.5515337423312883
Andhra Pradesh,chittoor,2025-09,1,0,0,1,1.0,0.0,0.0,0.6
Andhra Pradesh,chittoor,2025-10,2,0,0,2,1.0,0.0,0.0,0.6
Andhra Pradesh,chittoor,2025-12,1,0,0,1,1.0,0.0,0.0,0.6
Andhra Pradesh,rangareddi,2025-09,1,0,0,1,1.0,0.0,0.0,0.6
Arunachal Pradesh,Anjaw,2025-09,16,5,0,21,0.7619047619047619,0.23809523809523808,0.0,0.5285714285714285
Arunachal Pradesh,Anjaw,2025-10,1,2,0,3,0.3333333333333333,0.6666666666666666,0.0,0.39999999999999997
Arunachal Pradesh,Anjaw,2025-11,3,4,3,10,0.3,0.4,0.3,0.32999999999999996
Arunachal Pradesh,Anjaw,2025-12,3,0,0,3,1.0,0.0,0.0,0.6
Arunachal Pradesh,Changlang,2025-09,288,136,5,429,0.6713286713286714,0.317016317016317,0.011655011655011656,0.4990675990675991
Arunachal Pradesh,Changlang,2025-10,76,117,1,194,0.3917525773195876,0.6030927835051546,0.005154639175257732,0.4164948453608247
Arunachal Pradesh,Changlang,2025-11,66,45,7,118,0.559322033898305,0.3813559322033898,0.059322033898305086,0.4559322033898305
Arunachal Pradesh,Changlang,2025-12,56,6,0,62,0.9032258064516129,0.0967741935483871,0.0,0.5709677419354838
Arunachal Pradesh,Dibang Valley,2025-09,2,2,0,4,0.5,0.5,0.0,0.44999999999999996
Arunachal Pradesh,Dibang Valley,2025-10,3,1,0,4,0.75,0.25,0.0,0.5249999999999999
Arunachal Pradesh,Dibang Valley,2025-11,1,0,0,1,1.0,0.0,0.0,0.6
Arunachal Pradesh,Dibang Valley,2025-12,1,0,0,1,1.0,0.0,0.0,0.6
Arunachal Pradesh,East Kameng,2025-09,47,29,0,76,0.618421052631579,0.3815789473684211,0.0,0.4855263157894737
Arunachal Pradesh,East Kameng,2025-10,18,21,0,39,0.46153846153846156,0.5384615384615384,0.0,0.43846153846153846
Arunachal Pradesh,East Kameng,2025-11,14,16,14,44,0.3181818181818182,0.36363636363636365,0.3181818181818182,0.3318181818181818
Arunachal Pradesh,East Kameng,2025-12,9,13,0,22,0.4090909090909091,0.5909090909090909,0.0,0.42272727272727273
Arunachal Pradesh,East Siang,2025-09,29,27,0,56,0.5178571428571429,0.48214285714285715,0.0,0.45535714285714285
