state,district,month,bio_age_5_17,bio_age_17_,total_bio_updates,child_bio_ratio,adult_bio_ratio,bio_risk_score,month_name
Andaman and Nicobar Islands,South Andaman,2025-10,558,244,802,0.6957605985037406,0.30423940149625933,0.5783042394014962,October
Andaman and Nicobar Islands,South Andaman,2025-11,542,287,829,0.6537997587454765,0.34620024125452353,0.5615199034981906,November
Andaman and Nicobar Islands,South Andaman,2025-12,970,366,1336,0.7260479041916168,0.27395209580838326,0.5904191616766468,December
Andhra Pradesh,Adilabad,2025-03,897,4366,5263,0.1704351130533916,0.8295648869466083,0.3681740452213566,March
Andhra Pradesh,Adilabad,2025-04,694,2822,3516,0.19738339021615472,0.8026166097838453,0.37895335608646186,April
Andhra Pradesh,Adilabad,2025-05,961,2457,3418,0.28115857226448215,0.7188414277355178,0.41246342890579285,May
Andhra Pradesh,Adilabad,2025-06,1921,3719,5640,0.3406028368794326,0.6593971631205674,0.43624113475177306,June
Andhra Pradesh,Adilabad,2025-07,1321,5807,7128,0.18532547699214366,0.8146745230078564,0.37413019079685744,July
Andhra Pradesh,Adilabad,2025-09,1108,6511,7619,0.1454259089119307,0.8545740910880693,0.3581703635647723,September
Andhra Pradesh,Adilabad,2025-10,2245,5259,7504,0.29917377398720685,0.7008262260127932,0.4196695095948827,October
Andhra Pradesh,Adilabad,2025-11,1420,4140,5560,0.25539568345323743,0.7446043165467626,0.40215827338129495,November
Andhra Pradesh,Adilabad,2025-12,1641,4749,6390,0.2568075117370892,0.7431924882629108,0.4027230046948357,December
Andhra Pradesh,Alluri Sitharama Raju,2025-03,585,1408,1993,0.29352734570998495,0.706472654290015,0.417410938283994,March
Andhra Pradesh,Alluri Sitharama Raju,2025-04,877,1092,1969,0.4454037582529203,0.5545962417470798,0.4781615033011681,April
Andhra Pradesh,Alluri Sitharama Raju,2025-05,1125,964,2089,0.5385351842987075,0.4614648157012925,0.515414073719483,May
Andhra Pradesh,Alluri Sitharama Raju,2025-06,1717,1219,2936,0.5848092643051771,0.4151907356948229,0.5339237057220708,June
Andhra Pradesh,Alluri Sitharama Raju,2025-07,718,1130,1848,0.38852813852813856,0.6114718614718615,0.4554112554112554,July
Andhra Pradesh,Alluri Sitharama Raju,2025-09,700,711,1411,0.4961020552799433,0.5038979447200567,0.49844082211197727,September
Andhra Pradesh,Alluri Sitharama Raju,2025-10,749,1270,2019,0.370975730559683,0.629024269440317,0.4483902922238732,October
Andhra Pradesh,Alluri Sitharama Raju,2025-11,1099,1013,2112,0.5203598484848485,0.4796401515151515,0.5081439393939394,November
Andhra Pradesh,Alluri Sitharama Raju,2025-12,868,1362,2230,0.38923766816143496,0.610762331838565,0.455695067264574,December
Andhra Pradesh,Anakapalli,2025-03,218,234,452,0.4823008849557522,0.5176991150442478,0.49292035398230083,March
Andhra Pradesh,Anakapalli,2025-04,598,342,940,0.6361702127659574,0.3638297872340426,0.5544680851063829,April
Andhra Pradesh,Anakapalli,2025-05,565,480,1045,0.5406698564593302,0.45933014354066987,0.5162679425837321,May
Andhra Pradesh,Anakapalli,2025-06,579,449,1028,0.5632295719844358,0.4367704280155642,0.5252918287937743,June
Andhra Pradesh,Anakapalli,2025-07,214,281,495,0.43232323232323233,0.5676767676767677,0.4729292929292929,July
Andhra Pradesh,Anakapalli,2025-09,111,292,403,0.27543424317617865,0.7245657568238213,0.4101736972704714,September
Andhra Pradesh,Anakapalli,2025-10,373,281,654,0.5703363914373089,0.42966360856269115,0.5281345565749236,October
Andhra Pradesh,Anakapalli,2025-11,429,303,732,0.5860655737704918,0.4139344262295082,0.5344262295081967,November
Andhra Pradesh,Anakapalli,2025-12,455,519,974,0.4671457905544148,0.5328542094455853,0.4868583162217659,December
Andhra Pradesh,Anantapur,2025-03,3363,6499,9862,0.34100588116000813,0.6589941188399919,0.4364023524640033,March
Andhra Pradesh,Anantapur,2025-04,5252,6078,11330,0.46354810238305383,0.5364518976169461,0.48541924095322153,April
Andhra Pradesh,Anantapur,2025-05,5334,6348,11682,0.4565998972778634,0.5434001027221366,0.4826399589111453,May
Andhra Pradesh,Anantapur,2025-06,5129,6852,11981,0.4280944829313079,0.5719055170686921,0.4712377931725231,June
Andhra Pradesh,Anantapur,2025-07,1990,5806,7796,0.2552591072344792,0.7447408927655208,0.40210364289379164,July
Andhra Pradesh,Anantapur,2025-09,1548,4191,5739,0.2697334030318871,0.7302665969681129,0.4078933612127548,September
Andhra Pradesh,Anantapur,2025-10,5574,6560,12134,0.45937036426569966,0.5406296357343003,0.4837481457062799,October
Andhra Pradesh,Anantapur,2025-11,4338,6853,11191,0.38763291931016,0.61236708068984,0.455053167724064,November
Andhra Pradesh,Anantapur,2025-12,3306,8544,11850,0.2789873417721519,0.7210126582278481,0.4115949367088607,December
Andhra Pradesh,Ananthapur,2025-03,11722,2215,13937,0.8410705316782665,0.15892946832173352,0.6364282126713066,March
Andhra Pradesh,Ananthapur,2025-04,15832,2062,17894,0.88476584329943,0.11523415670057002,0.6539063373197719,April
Andhra Pradesh,Ananthapur,2025-05,10603,2055,12658,0.8376520777373992,0.16234792226260072,0.6350608310949597,May
Andhra Pradesh,Ananthapur,2025-06,8820,2534,11354,0.7768187422934648,0.22318125770653513,0.6107274969173858,June
Andhra Pradesh,Ananthapur,2025-07,2655,2114,4769,0.556720486475152,0.44327951352484796,0.5226881945900608,July
Andhra Pradesh,Ananthapur,2025-09,1685,1516,3201,0.5263980006248048,0.47360199937519526,0.510559200249922,September
Andhra Pradesh,Ananthapur,2025-10,5552,2105,7657,0.7250881546297505,0.27491184537024943,0.5900352618519001,October
Andhra Pradesh,Ananthapur,2025-11,3738,2396,6134,0.6093902836648191,0.39060971633518093,0.5437561134659277,November
Andhra Pradesh,Ananthapur,2025-12,3475,3053,6528,0.5323223039215687,0.46767769607843135,0.5129289215686275,December
Andhra Pradesh,Ananthapuramu,2025-03,14063,2087,16150,0.8707739938080495,0.12922600619195046,0.6483095975232197,March
Andhra Pradesh,Ananthapuramu,2025-04,21835,1945,23780,0.9182085786375105,0.08179142136248949,0.6672834314550042,April
Andhra Pradesh,Ananthapuramu,2025-05,16807,2592,19399,0.8663848651992371,0.13361513480076292,0.6465539460796949,May
Andhra Pradesh,Ananthapuramu,2025-06,13860,2868,16728,0.8285509325681492,0.1714490674318508,0.6314203730272596,June
Andhra Pradesh,Ananthapuramu,2025-07,3740,2292,6032,0.620026525198939,0.37997347480106103,0.5480106100795756,July
Andhra Pradesh,Ananthapuramu,2025-09,2517,1352,3869,0.6505556991470665,0.3494443008529336,0.5602222796588265,September
Andhra Pradesh,Ananthapuramu,2025-10,7446,1540,8986,0.8286223013576675,0.17137769864233252,0.6314489205430669,October
Andhra Pradesh,Ananthapuramu,2025-11,5257,1819,7076,0.7429338609383833,0.25706613906161674,0.5971735443753534,November
Andhra Pradesh,Ananthapuramu,2025-12,5008,2574,7582,0.660511738327618,0.33948826167238194,0.5642046953310471,December
Andhra Pradesh,Annamayya,2025-03,235,270,505,0.46534653465346537,0.5346534653465347,0.4861386138613861,March
Andhra Pradesh,Annamayya,2025-04,760,371,1131,0.671971706454465,0.3280282935455349,0.5687886825817859,April
Andhra Pradesh,Annamayya,2025-05,1317,595,1912,0.6888075313807531,0.3111924686192469,0.5755230125523012,May
Andhra Pradesh,Annamayya,2025-06,903,507,1410,0.6404255319148936,0.3595744680851064,0.5561702127659575,June
Andhra Pradesh,Annamayya,2025-07,361,491,852,0.42370892018779344,0.5762910798122066,0.4694835680751174,July
Andhra Pradesh,Annamayya,2025-09,191,385,576,0.3315972222222222,0.6684027777777778,0.4326388888888889,September
Andhra Pradesh,Annamayya,2025-10,634,326,960,0.6604166666666667,0.33958333333333335,0.5641666666666666,October
Andhra Pradesh,Annamayya,2025-11,655,372,1027,0.6377799415774099,0.3622200584225901,0.5551119766309639,November
Andhra Pradesh,Annamayya,2025-12,734,605,1339,0.5481702763256161,0.45182972367438384,0.5192681105302464,December
Andhra Pradesh,Bapatla,2025-03,114,131,245,0.46530612244897956,0.5346938775510204,0.4861224489795918,March
Andhra Pradesh,Bapatla,2025-04,220,165,385,0.5714285714285714,0.42857142857142855,0.5285714285714285,April
Andhra Pradesh,Bapatla,2025-05,508,303,811,0.6263871763255241,0.37361282367447596,0.5505548705302096,May
Andhra Pradesh,Bapatla,2025-06,822,465,1287,0.6386946386946387,0.3613053613053613,0.5554778554778554,June
Andhra Pradesh,Bapatla,2025-07,171,165,336,0.5089285714285714,0.49107142857142855,0.5035714285714286,July
Andhra Pradesh,Bapatla,2025-09,134,182,316,0.4240506329113924,0.5759493670886076,0.4696202531645569,September
Andhra Pradesh,Bapatla,2025-10,462,171,633,0.7298578199052133,0.27014218009478674,0.5919431279620853,October
Andhra Pradesh,Bapatla,2025-11,769,203,972,0.7911522633744856,0.2088477366255144,0.6164609053497943,November
Andhra Pradesh,Bapatla,2025-12,699,298,997,0.7011033099297894,0.29889669007021064,0.5804413239719157,December
Andhra Pradesh,Chittoor,2025-03,18773,9414,28187,0.6660162486252528,0.33398375137474723,0.5664064994501011,March
Andhra Pradesh,Chittoor,2025-04,35284,10206,45490,0.7756429984612002,0.22435700153879973,0.61025719938448,April
Andhra Pradesh,Chittoor,2025-05,25633,9255,34888,0.734722540701674,0.2652774592983261,0.5938890162806696,May
Andhra Pradesh,Chittoor,2025-06,21156,9672,30828,0.6862592448423511,0.3137407551576489,0.5745036979369404,June
Andhra Pradesh,Chittoor,2025-07,8888,10455,19343,0.45949439073566667,0.5405056092643333,0.4837977562942667,July
Andhra Pradesh,Chittoor,2025-09,5089,7068,12157,0.41860656411943736,0.5813934358805627,0.46744262564777495,September
Andhra Pradesh,Chittoor,2025-10,19337,6698,26035,0.7427309391204149,0.2572690608795852,0.5970923756481659,October
Andhra Pradesh,Chittoor,2025-11,22221,8662,30883,0.7195220671566881,0.28047793284331185,0.5878088268626752,November
Andhra Pradesh,Chittoor,2025-12,12329,11265,23594,0.5225481054505383,0.47745189454946174,0.5090192421802153,December
Andhra Pradesh,Cuddapah,2025-03,11599,5222,16821,0.6895547232625884,0.31044527673741157,0.5758218893050353,March
Andhra Pradesh,Cuddapah,2025-04,22219,5703,27922,0.7957524532626603,0.20424754673733972,0.6183009813050642,April
Andhra Pradesh,Cuddapah,2025-05,18656,5900,24556,0.7597328555139273,0.24026714448607264,0.6038931422055709,May
Andhra Pradesh,Cuddapah,2025-06,17592,6976,24568,0.7160534028003908,0.28394659719960924,0.5864213611201562,June
Andhra Pradesh,Cuddapah,2025-07,7080,7148,14228,0.49761034579701996,0.50238965420298,0.4990441383188079,July
Andhra Pradesh,Cuddapah,2025-09,3714,4701,8415,0.4413547237076649,0.5586452762923351,0.47654188948306586,September
Andhra Pradesh,Cuddapah,2025-10,10849,5852,16701,0.6496018202502845,0.3503981797497156,0.5598407281001138,October
Andhra Pradesh,Cuddapah,2025-11,11718,5958,17676,0.6629327902240326,0.33706720977596744,0.5651731160896131,November
Andhra Pradesh,Cuddapah,2025-12,11700,8209,19909,0.5876739163192526,0.4123260836807474,0.535069566527701,December
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-03,116,181,297,0.39057239057239057,0.6094276094276094,0.4562289562289562,March
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-04,321,247,568,0.5651408450704225,0.43485915492957744,0.526056338028169,April
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-05,615,414,1029,0.597667638483965,0.40233236151603496,0.5390670553935859,May
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-06,668,528,1196,0.5585284280936454,0.4414715719063545,0.5234113712374582,June
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-07,182,300,482,0.3775933609958506,0.6224066390041494,0.4510373443983402,July
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09,200,309,509,0.3929273084479371,0.6070726915520629,0.45717092337917486,September
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10,653,240,893,0.7312430011198209,0.2687569988801792,0.5924972004479284,October
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11,941,295,1236,0.761326860841424,0.23867313915857605,0.6045307443365696,November
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12,656,440,1096,0.5985401459854015,0.40145985401459855,0.5394160583941606,December
Andhra Pradesh,East Godavari,2025-03,18286,11512,29798,0.6136653466675616,0.38633465333243844,0.5454661386670246,March
Andhra Pradesh,East Godavari,2025-04,39510,11585,51095,0.7732654858596731,0.22673451414032683,0.6093061943438692,April
Andhra Pradesh,East Godavari,2025-05,29904,11079,40983,0.7296683990923065,0.2703316009076934,0.5918673596369226,May
Andhra Pradesh,East Godavari,2025-06,30081,12219,42300,0.7111347517730496,0.28886524822695037,0.5844539007092199,June
Andhra Pradesh,East Godavari,2025-07,12528,13506,26034,0.4812168702466006,0.5187831297533994,0.49248674809864024,July
Andhra Pradesh,East Godavari,2025-09,7385,7853,15238,0.48464365402283766,0.5153563459771624,0.493857461609135,September
Andhra Pradesh,East Godavari,2025-10,20988,7726,28714,0.7309326460959811,0.2690673539040189,0.5923730584383924,October
Andhra Pradesh,East Godavari,2025-11,26682,9204,35886,0.7435211503093129,0.2564788496906872,0.5974084601237251,November
Andhra Pradesh,East Godavari,2025-12,19540,12262,31802,0.6144267656122256,0.38557323438777436,0.5457707062448902,December
Andhra Pradesh,Eluru,2025-03,171,308,479,0.3569937369519833,0.6430062630480167,0.4427974947807933,March
Andhra Pradesh,Eluru,2025-04,402,462,864,0.4652777777777778,0.5347222222222222,0.4861111111111111,April
Andhra Pradesh,Eluru,2025-05,801,734,1535,0.5218241042345277,0.4781758957654723,0.5087296416938111,May
Andhra Pradesh,Eluru,2025-06,899,693,1592,0.5646984924623115,0.4353015075376884,0.5258793969849246,June
Andhra Pradesh,Eluru,2025-07,235,374,609,0.38587848932676516,0.6141215106732348,0.45435139573070604,July
Andhra Pradesh,Eluru,2025-09,215,392,607,0.3542009884678748,0.6457990115321252,0.44168039538714987,September
Andhra Pradesh,Eluru,2025-10,381,267,648,0.5879629629629629,0.41203703703703703,0.5351851851851851,October
Andhra Pradesh,Eluru,2025-11,584,285,869,0.6720368239355581,0.32796317606444186,0.5688147295742232,November
Andhra Pradesh,Eluru,2025-12,600,427,1027,0.5842259006815969,0.4157740993184031,0.5336903602726387,December
Andhra Pradesh,Guntur,2025-03,19655,11604,31259,0.628778911673438,0.371221088326562,0.5515115646693752,March
Andhra Pradesh,Guntur,2025-04,40190,11344,51534,0.779873481584973,0.22012651841502698,0.6119493926339892,April
Andhra Pradesh,Guntur,2025-05,28530,12010,40540,0.703749383325111,0.296250616674889,0.5814997533300444,May
Andhra Pradesh,Guntur,2025-06,28176,13524,41700,0.6756834532374101,0.3243165467625899,0.570273381294964,June
Andhra Pradesh,Guntur,2025-07,11415,14196,25611,0.4457069228066065,0.5542930771933935,0.47828276912264256,July
Andhra Pradesh,Guntur,2025-09,4976,8246,13222,0.3763424595371351,0.6236575404628649,0.450536983814854,September
Andhra Pradesh,Guntur,2025-10,17165,8852,26017,0.6597609255486797,0.3402390744513203,0.5639043702194718,October
Andhra Pradesh,Guntur,2025-11,21021,10826,31847,0.6600621722611235,0.3399378277388765,0.5640248689044494,November
Andhra Pradesh,Guntur,2025-12,16537,13427,29964,0.551895608063009,0.44810439193699103,0.5207582432252036,December
Andhra Pradesh,Hyderabad,2025-03,2070,9936,12006,0.1724137931034483,0.8275862068965517,0.3689655172413793,March
Andhra Pradesh,Hyderabad,2025-04,1935,8839,10774,0.17959903471319844,0.8204009652868015,0.3718396138852793,April
Andhra Pradesh,Hyderabad,2025-05,2418,8605,11023,0.21935952100154224,0.7806404789984578,0.3877438084006169,May
Andhra Pradesh,Hyderabad,2025-06,2416,9534,11950,0.20217573221757323,0.7978242677824268,0.3808702928870293,June
Andhra Pradesh,Hyderabad,2025-07,3151,12504,15655,0.20127754710954968,0.7987224528904503,0.3805110188438199,July
Andhra Pradesh,Hyderabad,2025-09,2138,8364,10502,0.20358027042468102,0.796419729575319,0.3814321081698724,September
Andhra Pradesh,Hyderabad,2025-10,2851,6315,9166,0.31104080296748854,0.6889591970325114,0.4244163211869954,October
Andhra Pradesh,Hyderabad,2025-11,3097,7432,10529,0.29413999430145316,0.7058600056985469,0.41765599772058126,November
Andhra Pradesh,Hyderabad,2025-12,3287,10852,14139,0.2324775443807907,0.7675224556192093,0.39299101775231626,December
Andhra Pradesh,K.V.Rangareddy,2025-07,10,12,22,0.45454545454545453,0.5454545454545454,0.4818181818181818,July
Andhra Pradesh,K.V.Rangareddy,2025-09,33,177,210,0.15714285714285714,0.8428571428571429,0.3628571428571428,September
Andhra Pradesh,K.V.Rangareddy,2025-10,52,164,216,0.24074074074074073,0.7592592592592593,0.39629629629629626,October
Andhra Pradesh,K.V.Rangareddy,2025-11,29,138,167,0.17365269461077845,0.8263473053892215,0.36946107784431137,November
Andhra Pradesh,K.V.Rangareddy,2025-12,44,114,158,0.27848101265822783,0.7215189873417721,0.4113924050632911,December
Andhra Pradesh,K.v. Rangareddy,2025-03,11,6,17,0.6470588235294118,0.35294117647058826,0.5588235294117647,March
Andhra Pradesh,K.v. Rangareddy,2025-06,23,12,35,0.6571428571428571,0.34285714285714286,0.5628571428571428,June
Andhra Pradesh,K.v. Rangareddy,2025-09,34,52,86,0.3953488372093023,0.6046511627906976,0.45813953488372083,September
Andhra Pradesh,K.v. Rangareddy,2025-10,47,39,86,0.5465116279069767,0.45348837209302323,0.5186046511627906,October
Andhra Pradesh,K.v. Rangareddy,2025-11,37,35,72,0.5138888888888888,0.4861111111111111,0.5055555555555555,November
Andhra Pradesh,K.v. Rangareddy,2025-12,64,44,108,0.5925925925925926,0.4074074074074074,0.537037037037037,December
Andhra Pradesh,Kakinada,2025-03,203,317,520,0.3903846153846154,0.6096153846153847,0.45615384615384613,March
Andhra Pradesh,Kakinada,2025-04,710,613,1323,0.5366591080876795,0.4633408919123205,0.5146636432350717,April
Andhra Pradesh,Kakinada,2025-05,1272,742,2014,0.631578947368421,0.3684210526315789,0.5526315789473684,May
Andhra Pradesh,Kakinada,2025-06,1091,690,1781,0.6125772038180798,0.38742279618192027,0.5450308815272319,June
Andhra Pradesh,Kakinada,2025-07,524,607,1131,0.46330680813439434,0.5366931918656057,0.4853227232537577,July
Andhra Pradesh,Kakinada,2025-09,250,346,596,0.41946308724832215,0.5805369127516778,0.4677852348993289,September
Andhra Pradesh,Kakinada,2025-10,954,324,1278,0.7464788732394366,0.2535211267605634,0.5985915492957746,October
Andhra Pradesh,Kakinada,2025-11,1247,382,1629,0.7655003069367711,0.234499693063229,0.6062001227747084,November
Andhra Pradesh,Kakinada,2025-12,890,536,1426,0.6241234221598878,0.3758765778401122,0.5496493688639551,December
Andhra Pradesh,Karim Nagar,2025-03,26,117,143,0.18181818181818182,0.8181818181818182,0.3727272727272727,March
Andhra Pradesh,Karim Nagar,2025-04,25,34,59,0.423728813559322,0.576271186440678,0.4694915254237288,April
Andhra Pradesh,Karim Nagar,2025-05,40,116,156,0.2564102564102564,0.7435897435897436,0.4025641025641026,May
Andhra Pradesh,Karim Nagar,2025-06,13,57,70,0.18571428571428572,0.8142857142857143,0.3742857142857143,June
Andhra Pradesh,Karim Nagar,2025-07,18,99,117,0.15384615384615385,0.8461538461538461,0.36153846153846153,July
Andhra Pradesh,Karim Nagar,2025-09,36,226,262,0.13740458015267176,0.8625954198473282,0.3549618320610687,September
Andhra Pradesh,Karim Nagar,2025-10,82,163,245,0.3346938775510204,0.6653061224489796,0.43387755102040815,October
Andhra Pradesh,Karim Nagar,2025-11,76,223,299,0.25418060200668896,0.745819397993311,0.40167224080267555,November
Andhra Pradesh,Karim Nagar,2025-12,71,275,346,0.20520231213872833,0.7947976878612717,0.38208092485549133,December
Andhra Pradesh,Karimnagar,2025-03,269,1150,1419,0.18957011980267793,0.8104298801973221,0.37582804792107116,March
Andhra Pradesh,Karimnagar,2025-04,140,487,627,0.22328548644338117,0.7767145135566188,0.3893141945773524,April
Andhra Pradesh,Karimnagar,2025-05,426,1049,1475,0.2888135593220339,0.7111864406779661,0.4155254237288135,May
Andhra Pradesh,Karimnagar,2025-06,491,1267,1758,0.2792946530147895,0.7207053469852105,0.4117178612059158,June
Andhra Pradesh,Karimnagar,2025-07,396,1614,2010,0.19701492537313434,0.8029850746268656,0.37880597014925366,July
Andhra Pradesh,Karimnagar,2025-09,392,2746,3138,0.12492033142128744,0.8750796685787126,0.34996813256851494,September
Andhra Pradesh,Karimnagar,2025-10,797,1494,2291,0.3478830205150589,0.6521169794849411,0.43915320820602355,October
Andhra Pradesh,Karimnagar,2025-11,639,1375,2014,0.317279046673287,0.682720953326713,0.4269116186693148,November
Andhra Pradesh,Karimnagar,2025-12,788,1607,2395,0.3290187891440501,0.6709812108559499,0.43160751565762,December
Andhra Pradesh,Khammam,2025-03,1070,2855,3925,0.27261146496815286,0.7273885350318471,0.4090445859872611,March
Andhra Pradesh,Khammam,2025-04,790,2151,2941,0.26861611696701804,0.731383883032982,0.4074464467868072,April
Andhra Pradesh,Khammam,2025-05,1378,2496,3874,0.35570469798657717,0.6442953020134228,0.4422818791946308,May
Andhra Pradesh,Khammam,2025-06,2069,3017,5086,0.4068029885961463,0.5931970114038537,0.46272119543845847,June
Andhra Pradesh,Khammam,2025-07,1649,4479,6128,0.26909268929503916,0.7309073107049608,0.40763707571801566,July
Andhra Pradesh,Khammam,2025-09,1992,2699,4691,0.4246429332764869,0.575357066723513,0.46985717331059473,September
Andhra Pradesh,Khammam,2025-10,2726,3065,5791,0.47073044379209117,0.5292695562079088,0.48829217751683646,October
Andhra Pradesh,Khammam,2025-11,2122,2292,4414,0.4807430901676484,0.5192569098323516,0.49229723606705933,November
Andhra Pradesh,Khammam,2025-12,1740,2368,4108,0.42356377799415773,0.5764362220058422,0.46942551119766307,December
Andhra Pradesh,Krishna,2025-03,16816,9887,26703,0.6297419765569412,0.37025802344305886,0.5518967906227764,March
Andhra Pradesh,Krishna,2025-04,29038,9999,39037,0.7438583907574865,0.2561416092425135,0.5975433563029946,April
Andhra Pradesh,Krishna,2025-05,20478,9521,29999,0.6826227540918031,0.31737724590819694,0.5730491016367212,May
Andhra Pradesh,Krishna,2025-06,20590,10292,30882,0.666731429311573,0.3332685706884269,0.5666925717246292,June
Andhra Pradesh,Krishna,2025-07,11727,11239,22966,0.5106244012888618,0.4893755987111382,0.5042497605155447,July
Andhra Pradesh,Krishna,2025-09,5652,9254,14906,0.379176170669529,0.620823829330471,0.4516704682678116,September
Andhra Pradesh,Krishna,2025-10,13069,7233,20302,0.6437296818047483,0.3562703181952517,0.5574918727218993,October
Andhra Pradesh,Krishna,2025-11,17877,8508,26385,0.6775440591245026,0.32245594087549745,0.571017623649801,November
Andhra Pradesh,Krishna,2025-12,11541,10526,22067,0.5229981420220239,0.4770018579779762,0.5091992568088095,December
Andhra Pradesh,Kurnool,2025-03,27662,10576,38238,0.7234164966786966,0.27658350332130344,0.5893665986714786,March
Andhra Pradesh,Kurnool,2025-04,56618,11320,67938,0.8333774912420148,0.16662250875798523,0.6333509964968059,April
Andhra Pradesh,Kurnool,2025-05,38609,11871,50480,0.7648375594294771,0.235162440570523,0.6059350237717908,May
Andhra Pradesh,Kurnool,2025-06,34015,13321,47336,0.7185862768294744,0.2814137231705256,0.5874345107317898,June
Andhra Pradesh,Kurnool,2025-07,15103,14834,29937,0.5044927681464408,0.49550723185355916,0.5017971072585763,July
